,gender,age,local_or_non_local,university,current_study,year_of_study,drinking_frequency,drinking_consumption_amount,drinking_frequency_six_servings,type_of_drink,drinking_occasion,drinking_frequency_before_examination,gpa,activity_1,activity_2,academic_achievements,professional_examinations,nationality,drinking_consumption_amount_score,drinking_frequency_score,drinking_frequency_six_servings_score,drinking_frequency_before_examination_score,risk_score
132,Female 女性,19,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Monthly or less 少於每月,1.0,Never 從來不會,水果酒,Family gatherings 家庭聚會,Never (0%) 從來不會,3.4,0.0,0.0,0,0.0,Hong Kong,1,1,0,0,2
133,Female 女性,20,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,3.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.6,0.0,0.0,3,0.0,Hong Kong,0,0,0,0,0
135,Female 女性,20,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,2.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.4,0.0,0.0,3,0.0,Hong Kong,0,0,0,0,0
138,Male 男性,20,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,8.0,Weekly 每週,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）;Drinking alone 單獨飲酒",Never (0%) 從來不會,3.4,1.0,0.0,1,1.0,Indonesia,4,2,3,0,9
139,Male 男性,20,Non-local student 非本地生,City University of Hong Kong (CityU) 香港城市大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,6.0,Monthly 每月,Vodka 伏特加,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.55,1.0,1.0,3,0.0,Indonesia,3,1,2,0,6
140,Male 男性,21,Non-local student 非本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,2.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.65,1.0,1.0,7,0.0,Indonesia,1,1,1,0,3
142,Female 女性,20,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,2.0,Never 從來不會,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.9,1.0,1.0,8,0.0,Indonesia,1,1,0,0,2
145,Male 男性,21,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,1.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）",Never (0%) 從來不會,3.0,1.0,1.0,1,0.0,Indonesia,1,2,1,0,4
146,Male 男性,21,Non-local student 非本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,0.5,Never 從來不會,Soju 燒酒,at home with gf,Never (0%) 從來不會,3.4,1.0,1.0,1,0.0,Malaysia,1,2,0,0,3
148,Male 男性,22,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,2-4 times a month 每月二至四次,6.0,Monthly 每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,2.7,1.0,1.0,0,0.0,Hong Kong,3,2,2,1,8
